name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3
45,negative,7.754545454545454,18.181818181818183,0.0,0.0,81.81818181818183,18.181818181818183,18.181818181818183,0.0,0.0,0.0,0.0,0.0,18.181818181818183,18.181818181818183,30.76923076923077,30.76923076923077,0.0,0,2,1,0
46,negative,9.909090909090908,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0,0,0,0
47,negative,4.545454545454546,45.45454545454545,0.0,27.27272727272727,27.27272727272727,45.45454545454545,45.45454545454545,0.0,0.0,0.0,0.0,0.0,45.45454545454545,18.181818181818183,30.76923076923077,30.76923076923077,0.0,0,2,1,0
48,negative,8.872727272727273,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,9.090909090909092,0.0,0.0,0.0,0.0,18.181818181818183,9.090909090909092,0.0,30.76923076923077,30.76923076923077,0.0,1,1,0,1
49,negative,4.454545454545454,54.54545454545454,0.0,0.0,45.45454545454545,54.54545454545454,54.54545454545454,0.0,0.0,0.0,0.0,0.0,45.45454545454545,18.181818181818183,0.0,0.0,0.0,0,0,0,0
5,negative,8.700000000000001,9.090909090909092,0.0,9.090909090909092,81.81818181818183,9.090909090909092,9.090909090909092,0.0,0.0,0.0,0.0,18.181818181818183,9.090909090909092,0.0,23.076923076923077,23.076923076923077,0.0,0,3,0,0
50,positive,2.8363636363636364,72.72727272727273,0.0,0.0,27.27272727272727,72.72727272727273,72.72727272727273,0.0,0.0,0.0,0.0,0.0,63.63636363636363,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,0,0,0
51,negative,9.745454545454546,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0,0,0,0
52,positive,3.3181818181818183,63.63636363636363,0.0,9.090909090909092,27.27272727272727,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,63.63636363636363,18.181818181818183,30.76923076923077,30.76923076923077,0.0,0,3,0,0
53,negative,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,1,0,0
