name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3,sequencial_missing_6,sequencial_missing_9,sequencial_missing_12
36,negative,7.547058823529411,17.647058823529413,5.88235294117647,5.88235294117647,70.58823529411765,23.52941176470588,17.647058823529413,0.0,0.0,0.0,0.0,5.88235294117647,11.76470588235294,0.0,15.789473684210526,15.789473684210526,0.0,0,2,0,0,0,0,0
37,negative,7.170588235294118,23.52941176470588,0.0,11.76470588235294,64.70588235294117,23.52941176470588,23.52941176470588,0.0,0.0,0.0,0.0,0.0,11.76470588235294,5.88235294117647,5.263157894736842,5.263157894736842,0.0,0,1,0,0,0,0,0
38,positive,1.7647058823529411,82.35294117647058,0.0,0.0,17.647058823529413,82.35294117647058,82.35294117647058,0.0,0.0,0.0,0.0,0.0,76.47058823529412,5.88235294117647,26.31578947368421,26.31578947368421,0.0,0,1,2,0,0,0,0
39,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,31.57894736842105,31.57894736842105,0.0,0,1,2,0,0,0,0
4,negative,7.605882352941177,23.52941176470588,0.0,0.0,76.47058823529412,23.52941176470588,23.52941176470588,0.0,0.0,0.0,0.0,5.88235294117647,17.647058823529413,0.0,26.31578947368421,26.31578947368421,0.0,0,2,0,0,0,0,0
40,negative,9.63529411764706,0.0,5.88235294117647,0.0,94.11764705882352,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,15.789473684210526,15.789473684210526,0.0,0,1,1,0,0,0,0
41,negative,5.81764705882353,35.294117647058826,5.88235294117647,5.88235294117647,52.94117647058824,41.17647058823529,35.294117647058826,0.0,0.0,0.0,0.0,5.88235294117647,23.52941176470588,0.0,26.31578947368421,26.31578947368421,0.0,0,3,1,0,0,0,0
42,negative,9.447058823529414,5.88235294117647,0.0,0.0,94.11764705882352,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,10.526315789473683,10.526315789473683,0.0,0,2,0,0,0,0,0
43,negative,6.482352941176471,35.294117647058826,0.0,0.0,64.70588235294117,35.294117647058826,35.294117647058826,0.0,0.0,0.0,0.0,0.0,29.411764705882355,5.88235294117647,10.526315789473683,10.526315789473683,0.0,0,0,1,0,0,0,0
44,positive,0.4764705882352941,94.11764705882352,0.0,0.0,5.88235294117647,94.11764705882352,94.11764705882352,0.0,0.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,26.31578947368421,26.31578947368421,0.0,0,2,0,0,0,0,0
45,negative,8.870588235294118,5.88235294117647,5.88235294117647,0.0,88.23529411764706,11.76470588235294,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,26.31578947368421,26.31578947368421,0.0,0,3,1,0,0,0,0
46,negative,9.470588235294118,0.0,5.88235294117647,0.0,94.11764705882352,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,10.526315789473683,10.526315789473683,0.0,0,1,0,0,0,0,0
47,negative,5.141176470588236,41.17647058823529,0.0,23.52941176470588,35.294117647058826,41.17647058823529,35.294117647058826,0.0,0.0,0.0,0.0,0.0,35.294117647058826,5.88235294117647,26.31578947368421,26.31578947368421,0.0,0,2,1,0,0,0,0
48,negative,9.605882352941178,0.0,5.88235294117647,0.0,94.11764705882352,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,21.052631578947366,21.052631578947366,0.0,1,1,0,1,0,0,0
49,negative,4.7823529411764705,52.94117647058824,0.0,0.0,47.05882352941176,52.94117647058824,52.94117647058824,0.0,0.0,0.0,0.0,0.0,41.17647058823529,5.88235294117647,0.0,0.0,0.0,0,0,0,0,0,0,0
5,negative,9.329411764705881,0.0,5.88235294117647,5.88235294117647,88.23529411764706,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,26.31578947368421,26.31578947368421,0.0,0,3,1,0,0,0,0
50,positive,2.3764705882352946,76.47058823529412,0.0,0.0,23.52941176470588,76.47058823529412,76.47058823529412,0.0,0.0,0.0,0.0,0.0,64.70588235294117,5.88235294117647,26.31578947368421,26.31578947368421,0.0,0,1,2,0,0,0,0
