dataset,ratio_evaluation,evaluation_method,feature_selection,learner,accuracy,f1_score,precision,recall,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
turma_1,1.0,holdout (33/67),anova (10),logistic_regression,0.6923076923076923,0.6,0.42857142857142855,1.0,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,holdout (33/67),anova (10),neural_network,0.8307692307692308,0.7179487179487181,0.5833333333333334,0.9333333333333333,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,holdout (33/67),anova (10),gradient_boosting,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,holdout (33/67),anova (10),svm,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),chi2 (5),random_forest,0.8707317073170732,0.7282051282051281,0.7473684210526316,0.71,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),knn,0.7560975609756098,0.4444444444444445,0.5,0.4,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),tree,0.9024390243902439,0.7777777777777777,0.875,0.7,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),naive_bayes,0.8048780487804879,0.6666666666666666,0.5714285714285714,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),logistic_regression,0.926829268292683,0.8421052631578948,0.8888888888888888,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),neural_network,0.8146341463414634,0.6481481481481481,0.603448275862069,0.7,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),gradient_boosting,0.8951219512195122,0.7570621468926553,0.8701298701298701,0.67,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
